sport_key,league_name,season,fixture_id,date,home,away,home_id,away_id,status,goals_home,goals_away,result
soccer_germany_bundesliga,Bundesliga,2024,1224203,2025-03-15 14:30:00+00:00,Werder Bremen,Borussia Mönchengladbach,162,163,FT,2,4,A
soccer_germany_bundesliga,Bundesliga,2024,1224205,2025-03-15 14:30:00+00:00,FSV Mainz 05,SC Freiburg,164,160,FT,2,2,D
soccer_germany_bundesliga,Bundesliga,2024,1224204,2025-03-15 14:30:00+00:00,FC Augsburg,VfL Wolfsburg,170,161,FT,1,0,H
soccer_germany_bundesliga,Bundesliga,2024,1224206,2025-03-15 14:30:00+00:00,Union Berlin,Bayern München,182,157,FT,1,1,D
soccer_germany_bundesliga,Bundesliga,2024,1224201,2025-03-15 17:30:00+00:00,RB Leipzig,Borussia Dortmund,173,165,FT,2,0,H
soccer_germany_bundesliga,Bundesliga,2024,1224207,2025-03-16 15:20:00+00:00,VfL Bochum,Eintracht Frankfurt,176,169,FT,1,3,A
soccer_germany_bundesliga,Bundesliga,2024,1224202,2025-03-16 16:30:00+00:00,1. FC Heidenheim,Holstein Kiel,180,191,FT,3,1,H
soccer_germany_bundesliga,Bundesliga,2024,1224200,2025-03-16 18:30:00+00:00,VfB Stuttgart,Bayer Leverkusen,172,168,FT,3,4,A
soccer_germany_bundesliga,Bundesliga,2024,1224209,2025-03-28 19:30:00+00:00,Bayer Leverkusen,VfL Bochum,168,176,FT,3,1,H
soccer_germany_bundesliga,Bundesliga,2024,1224210,2025-03-29 14:30:00+00:00,Bayern München,FC St. Pauli,157,186,FT,3,2,H
soccer_germany_bundesliga,Bundesliga,2024,1224215,2025-03-29 14:30:00+00:00,VfL Wolfsburg,1. FC Heidenheim,161,180,FT,0,1,A
soccer_germany_bundesliga,Bundesliga,2024,1224216,2025-03-29 14:30:00+00:00,Borussia Mönchengladbach,RB Leipzig,163,173,FT,1,0,H
soccer_germany_bundesliga,Bundesliga,2024,1224213,2025-03-29 14:30:00+00:00,1899 Hoffenheim,FC Augsburg,167,170,FT,1,1,D
